Player Name,Country,Time Period,Matches,Played,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,Strike Rate,Centuries,Fifties,Ducks,Fours,Sixes
ST Jayasuriya ,Sri Lanka,1990-2008,25,24,1,1220,130,53.04,1190,102.52,6,3,1,139,23
KC Sangakkara ,Sri Lanka,2004-2014,24,23,1,1075,121,48.86,1272,84.51,4,8,2,107,7
SR Tendulkar ,India,1990-2012,23,21,2,971,114,51.1,1136,85.47,2,7,0,108,8
Shoaib Malik ,Pakistan,2000-2018,17,15,3,786,143,65.5,867,90.65,3,3,0,76,8
RG Sharma ,India,2008-2018,22,21,5,745,111,46.56,877,84.94,1,6,1,60,17
A Ranatunga ,Sri Lanka,1984-1997,19,19,6,741,131,57.0,895,82.79,1,6,0,49,7
Mushfiqur Rahim ,Bangladesh,2008-2018,21,21,2,699,144,36.78,827,84.52,2,2,0,54,10
DPMD Jayawardene ,Sri Lanka,2000-2014,28,26,3,674,78,29.3,769,87.64,0,7,3,70,6
MS Dhoni ,India,2008-2018,19,16,6,648,109,64.8,739,87.68,1,3,1,47,12
PA de Silva ,Sri Lanka,1984-2000,24,22,2,645,96,32.25,773,83.44,0,4,0,44,4
MS Atapattu ,Sri Lanka,1997-2004,13,12,2,642,100,64.2,903,71.09,1,6,0,51,2
V Kohli ,India,2010-2014,11,10,0,613,183,61.3,631,97.14,3,1,0,60,4
Inzamam-ul-Haq ,Pakistan,1995-2004,15,13,3,591,88,59.1,662,89.27,0,6,1,41,12
G Gambhir ,India,2008-2012,13,13,0,573,100,44.07,637,89.95,1,5,1,60,2
SK Raina ,India,2008-2012,13,13,4,547,116,60.77,480,113.95,2,3,0,48,18
Younis Khan ,Pakistan,2004-2012,14,13,2,546,144,49.63,543,100.55,2,3,0,47,5
S Dhawan ,India,2014-2018,9,9,0,534,127,59.33,584,91.43,2,2,0,62,8
Shahid Afridi ,Pakistan,1997-2014,23,21,6,532,124,35.46,378,140.74,2,1,2,46,26
NS Sidhu ,India,1988-1997,14,12,4,530,104,66.25,682,77.71,1,6,0,43,7
Tamim Iqbal ,Bangladesh,2008-2018,13,13,1,519,70,43.25,638,81.34,0,6,0,59,3
SC Ganguly ,India,1997-2004,13,12,2,518,135,51.8,700,74.0,1,4,0,44,13
Umar Akmal ,Pakistan,2010-2014,12,12,2,510,102,51.0,513,99.41,1,4,0,39,9
V Sehwag ,India,2004-2010,13,13,0,509,119,39.15,447,113.87,1,3,1,67,12
Mohammad Yousuf ,Pakistan,2000-2008,14,12,3,490,100,54.44,638,76.8,1,2,1,48,4
M Azharuddin ,India,1988-2000,18,13,5,468,90,58.5,563,83.12,0,4,1,25,9
Misbah-ul-Haq ,Pakistan,2008-2014,14,13,4,419,76,46.55,490,85.51,0,5,1,31,10
Mohammad Hafeez ,Pakistan,2012-2014,9,9,0,403,105,44.77,581,69.36,1,3,0,35,3
Shakib Al Hasan ,Bangladesh,2010-2018,13,13,1,402,68,33.5,390,103.07,0,3,2,39,5
Athar Ali Khan ,Bangladesh,1988-1997,11,11,1,368,82,36.8,641,57.41,0,2,0,27,2
TM Dilshan ,Sri Lanka,2000-2012,20,18,1,368,71,21.64,408,90.19,0,2,1,38,2
CK Kapugedera ,Sri Lanka,2008-2012,12,11,2,365,75,40.55,443,82.39,0,4,1,26,8
HDRL Thirimanne ,Sri Lanka,2012-2014,8,8,0,363,102,45.37,477,76.1,2,0,0,34,3
Akram Khan ,Bangladesh,1988-2000,13,13,1,345,64,28.75,545,63.3,0,2,0,23,1
R Dravid ,India,1997-2004,13,9,0,334,104,37.11,427,78.22,1,2,0,29,1
AD Mathews ,Sri Lanka,2010-2018,11,10,6,331,74,82.75,402,82.33,0,3,1,24,3
Mahmudullah ,Bangladesh,2008-2018,20,19,6,328,74,25.23,525,62.47,0,1,1,19,2
Saeed Anwar ,Pakistan,1995-2000,9,9,0,320,90,35.55,412,77.66,0,2,1,36,3
Mohammad Ashraful ,Bangladesh,2004-2010,12,12,0,316,109,26.33,504,62.69,1,1,1,29,2
Yuvraj Singh ,India,2004-2008,11,10,2,312,50,39.0,354,88.13,0,1,1,24,7
Mohammad Shahzad ,Afghanistan,2014-2018,9,9,0,308,124,34.22,377,81.69,1,1,0,32,10
WU Tharanga ,Sri Lanka,2010-2018,9,9,0,304,57,33.77,379,80.21,0,2,0,32,3
KD Karthik ,India,2010-2018,12,11,4,302,66,43.14,410,73.65,0,1,0,30,2
Nasir Jamshed ,Pakistan,2008-2012,6,6,2,298,112,74.5,300,99.33,1,3,0,34,4
AP Gurusinha ,Sri Lanka,1986-1995,10,10,1,281,85,31.22,440,63.86,0,1,1,6,4
Asghar Afghan ,Afghanistan,2014-2018,9,9,1,277,90,34.62,360,76.94,0,2,1,18,8
RS Mahanama ,Sri Lanka,1986-1997,16,14,1,273,55,21.0,491,55.6,0,1,1,14,1
Hashmatullah Shahidi ,Afghanistan,2018-2018,5,5,1,263,97,65.75,364,72.25,0,3,1,17,0
AT Rayudu ,India,2014-2018,10,9,3,260,60,43.33,318,81.76,0,3,0,17,7
Fawad Alam ,Pakistan,2008-2014,4,3,2,251,114,251.0,281,89.32,1,2,0,15,5
Javed Omar ,Bangladesh,1995-2004,7,7,1,250,85,41.66,447,55.92,0,3,0,16,1
