Year,Host,No Of Team,Champion,Runner Up,Player Of The Series,Highest Run Scorer,Highest Wicket Taker
1984,UAE,3,India,Sri Lanka,Surinder Khanna,Surinder Khanna,Ravi Shastri
1986,Sri Lanka,3,Sri Lanka,Pakistan,Arjuna Ranatunga,Arjuna Ranatunga,Abdul Qadir
1988,Bangladesh,4,India,Sri Lanka,Navjot Sidhu,Ijaz Ahmed,Arshad Ayub
1990,India,3,India,Sri Lanka,Not Awarded,Arjuna Ranatunga,Kapil Dev
1995,UAE,4,India,Sri Lanka,Navjot Sidhu,Sachin Tendulkar,Anil Kumble
1997,Sri Lanka,4,Sri Lanka,India,Arjuna Ranatunga,Arjuna Ranatunga,Venkatesh Prasad
2000,Bangladesh,4,Pakistan,Sri Lanka,Yousuf Youhana,Yousuf Youhana,Abdul Razzaq
2004,Sri Lanka,6,Sri Lanka,India,Sanath Jayasuriya,Shoaib Malik,Irfan Pathan
2008,Pakistan,6,Sri Lanka,India,Ajantha Mendis,Sanath Jayasuriya,Ajantha Mendis
2010,Sri Lanka,4,India,Sri Lanka,Shahid Afridi,Shahid Afridi,Lasith Malinga
2012,Bangladesh,4,Pakistan,Bangladesh,Shakib Al Hasan,Virat Kohli,Umar Gul
2014,Bangladesh,5,Sri Lanka,Pakistan,Lahiru Thirimanne,Lahiru Thirimanne,Lasith Malinga
2016,Bangladesh,5,India,Bangladesh,Sabbir Rahman,Sabbir Rahman,Al Amin Hossain
2018,UAE,6,India,Bangladesh,Shikhar Dhawan,Shikhar Dhawan,Rashid Khan
2022,UAE,6,Sri Lanka,Pakistan,Wanindu Hasaranga,Mohammad Rizwan,Bhuvneshwar Kumar
