Player Name,Country,Time Period,Matches,Played,Dismissals,Catches,Stumpings,Maximum Dismissals
MS Dhoni ,India,2008-2018,19,19,36,25,11,5 
KC Sangakkara ,Sri Lanka,2004-2014,24,24,36,27,9,4 
Moin Khan ,Pakistan,1995-2004,14,13,17,12,5,3 
Mushfiqur Rahim ,Bangladesh,2008-2018,21,17,17,14,3,4 
DSBP Kuruppu ,Sri Lanka,1984-1988,9,9,14,12,2,4 
RS Kaluwitharana ,Sri Lanka,1995-2000,8,8,11,9,2,5 
Khaled Mashud ,Bangladesh,1995-2004,14,14,11,8,3,3 
Sarfaraz Ahmed ,Pakistan,2008-2018,13,13,10,8,2,3 
Zulqarnain ,Pakistan,1986-1986,3,3,9,8,1,4 
R Dravid ,India,1997-2004,13,5,7,5,2,2 
NR Mongia ,India,1995-2000,5,5,7,7,0,3 
Umar Akmal ,Pakistan,2010-2014,12,6,7,5,2,2 
Amjad Ali ,UAE,2008-2008,2,2,5,4,1,3 
Mohammad Shahzad ,Afghanistan,2014-2018,9,9,5,4,1,1 
Litton Das ,Bangladesh,2018-2018,6,1,4,1,3,2 
SS McKechnie ,Hong Kong,2018-2018,2,2,4,4,0,2 
HP Tillakaratne ,Sri Lanka,1988-1995,9,3,4,3,1,2 
Anamul Haque ,Bangladesh,2014-2014,4,4,4,4,0,3 
KD Karthik ,India,2010-2018,12,4,4,3,1,2 
Anil Dalpat ,Pakistan,1984-1984,2,2,3,2,1,2 
SC Khanna ,India,1984-1984,2,2,3,1,2,2 
Saleem Yousuf ,Pakistan,1988-1988,2,2,3,3,0,2 
SKL de Silva ,Sri Lanka,1997-1997,3,3,3,1,2,2 
Kamran Akmal ,Pakistan,2010-2010,3,3,3,3,0,1 
SS Karim ,India,1997-2000,5,5,3,3,0,2 
KS More ,India,1988-1991,5,5,3,3,0,2 
TM Dilshan ,Sri Lanka,2000-2012,20,0,2,2,0,2 
CI Dunusinghe ,Sri Lanka,1995-1995,1,1,2,1,1,2 
TT Smart ,Hong Kong,2004-2004,2,1,2,2,0,2 
JJ Atkinson ,Hong Kong,2008-2008,2,2,2,1,1,2 
Hafizur Rahman ,Bangladesh,1986-1986,2,2,2,2,0,1 
CS Pandit ,India,1988-1988,2,2,2,1,1,2 
PA Patel ,India,2004-2004,2,2,2,2,0,1 
MDKJ Perera ,Sri Lanka,2014-2018,7,2,2,2,0,2 
Nasir Ahmed ,Bangladesh,1988-1990,5,5,2,1,1,1 
Aamer Malik ,Pakistan,1988-1988,2,1,1,0,1,1 
Javed Qadeer ,Pakistan,1995-1995,1,1,1,1,0,1 
Abdul Rehman ,UAE,2004-2004,1,1,0,0,0,0
Asghar Ali ,UAE,2004-2004,2,1,0,0,0,0
Nasir Hameed ,Hong Kong,2004-2004,1,1,0,0,0,0
