Player Name,Country,Time Period,Matches,Played,Dismissals,Catches,Stumpings,Maximum Dismissals
MS Dhoni ,India,2016-2016,5,5,7,6,1,3 
SP Patil ,UAE,2016-2016,7,7,7,6,1,2 
LD Chandimal ,Sri Lanka,2016-2016,4,3,4,4,0,2 
Sultan Ahmed ,Oman,2016-2016,3,3,4,2,2,3 
KD Karthik ,India,2022-2022,3,1,3,3,0,3 
Nurul Hasan ,Bangladesh,2016-2016,2,2,3,0,3,2 
Mohammad Shahzad ,Afghanistan,2016-2016,3,3,3,1,2,2 
Rahmanullah Gurbaz ,Afghanistan,2022-2022,5,5,3,3,0,2 
BKG Mendis ,Sri Lanka,2022-2022,6,6,3,3,0,2 
Mohammad Rizwan ,Pakistan,2022-2022,6,6,3,3,0,1 
Sarfaraz Ahmed ,Pakistan,2016-2016,4,4,2,2,0,2 
Mushfiqur Rahim ,Bangladesh,2016-2022,7,5,2,1,1,1 
SS McKechnie ,Hong Kong,2022-2022,2,2,1,1,0,1 
N Dickwella ,Sri Lanka,2016-2016,1,1,0,0,0,0
C Carter ,Hong Kong,2016-2016,3,3,0,0,0,0
RR Pant ,India,2022-2022,4,4,0,0,0,0
